neighbourhood_n,number_of_reviews,minimum_nights,availability_365,room_type_n,Survived
16,7,2,0,0,47
21,26,3,347,0,110
31,0,30,0,0,43
39,4,5,0,1,89
6,12,1,60,0,75
33,5,1,0,1,125
37,0,3,0,1,450
7,9,3,191,1,125
120,42,2,168,1,85
2,1,1,0,0,86
15,33,3,292,1,300
6,0,30,281,1,160
8,3,1,0,0,50
9,0,1,0,0,75
15,7,9,0,1,90
12,0,3,0,0,85
20,2,7,47,0,90
21,0,1,83,0,130
150,2,90,93,1,48
1,3,2,327,0,252
30,13,1,0,0,65
6,4,8,0,0,45
15,5,1,0,0,47
21,31,2,0,0,50
60,28,1,359,0,93
76,9,2,81,0,50
56,1,30,90,0,47
11,7,1,0,1,289
34,13,1,361,0,129
44,0,1,29,0,54
73,22,2,0,1,105
2,51,3,66,0,85
87,2,2,5,1,268
23,12,4,31,1,159
25,3,10,45,1,220
31,1,30,235,0,42
152,57,1,342,0,50
103,141,1,47,0,44
7,2,3,352,1,500
23,15,4,191,0,99
1,0,7,34,1,125
7,0,1,0,0,150
90,7,2,0,1,120
11,7,7,0,1,240
8,25,1,311,0,125
2,12,2,0,0,100
73,45,2,256,1,129
6,1,2,71,1,195
23,18,1,356,1,499
109,10,1,179,0,63
19,4,2,0,1,185
14,77,5,79,0,103
13,3,1,0,0,45
6,5,15,24,1,100
18,5,1,0,0,48
7,12,3,1,1,150
6,9,3,20,0,60
83,3,1,350,0,100
37,34,1,55,1,98
16,2,5,0,1,250
19,0,7,0,0,55
30,4,5,218,0,55
28,8,5,82,1,300
30,0,1,0,1,70
12,0,30,0,0,40
8,2,2,43,0,90
23,0,1,162,0,135
7,54,3,24,0,150
24,3,1,0,0,75
19,25,4,140,0,109
22,2,1,0,0,48
28,1,2,0,1,150
28,15,8,14,1,220
15,0,10,0,0,36
125,0,2,159,1,240
28,0,30,272,1,249
6,145,2,305,1,149
50,6,2,9,1,210
7,5,30,345,1,120
21,9,2,79,0,39
27,15,4,5,1,205
8,0,30,328,0,60
16,4,10,15,1,195
28,134,3,108,0,85
2,15,2,54,1,199
16,151,1,0,0,169
15,0,2,16,0,59
21,5,1,158,0,39
21,20,3,258,1,159
37,27,1,76,0,60
26,2,2,0,1,225
6,0,2,31,0,50
12,1,1,0,1,250
26,1,3,0,1,120
15,16,3,37,0,50
32,4,3,0,1,215
12,20,2,0,0,80
6,10,1,20,1,139
12,1,4,157,0,65
45,0,1,0,0,150
2,269,1,65,0,87
8,8,2,0,1,90
24,0,1,211,2,40
1,0,1,351,1,189
95,1,1,173,0,75
2,0,1,301,1,289
1,19,1,0,1,800
6,4,7,0,1,70
43,0,29,332,1,212
28,0,2,32,1,222
15,54,2,1,1,140
157,2,1,88,2,40
39,0,7,0,0,55
45,1,7,0,0,48
21,1,2,10,1,155
70,25,3,70,1,139
2,0,2,0,0,75
49,16,2,331,1,175
103,2,2,135,1,90
64,87,4,295,1,550
8,4,30,160,1,175
1,1,1,0,2,130
45,3,6,34,0,125
68,0,2,0,1,1200
20,7,5,342,0,52
144,2,2,26,1,100
4,26,14,253,1,113
37,52,1,0,0,48
6,26,2,21,0,75
21,5,4,0,0,47
18,2,2,0,2,40
43,0,29,338,1,180
2,4,1,0,0,53
71,0,30,365,1,203
44,0,30,192,0,34
8,0,1,0,1,200
26,0,5,0,1,190
21,80,2,241,1,169
43,3,1,324,1,199
20,5,1,365,0,99
1,14,1,5,1,300
22,34,4,68,0,69
123,169,1,306,1,142
28,1,1,0,1,175
44,60,3,291,0,78
52,8,2,207,1,225
25,0,30,247,0,44
19,388,1,142,1,139
15,26,1,0,1,100
5,0,2,0,1,168
3,6,1,80,1,100
20,1,4,0,0,50
15,3,1,0,0,150
19,1,1,0,0,60
42,2,2,348,0,70
6,77,1,239,0,49
15,7,3,4,1,102
7,0,30,149,1,229
52,22,3,244,1,250
25,32,30,66,1,110
113,131,3,28,1,140
14,6,3,170,1,170
5,5,7,8,0,90
6,50,2,235,1,100
28,5,30,228,1,150
6,11,3,24,1,119
21,360,1,66,0,72
8,17,3,26,1,195
6,12,3,365,2,38
7,0,90,160,0,100
7,42,1,126,0,98
6,59,4,120,0,72
24,1,10,0,0,49
12,2,2,0,0,80
12,59,2,0,1,167
8,6,6,0,0,66
124,11,1,179,0,80
6,14,3,0,1,149
11,2,1,0,1,165
20,50,3,47,1,199
21,5,3,0,1,135
28,0,1,0,1,127
56,2,5,0,1,125
84,6,3,6,0,45
12,3,4,29,0,75
2,1,2,86,0,100
28,22,30,289,2,45
8,1,1,0,1,145
44,0,1,0,0,40
1,0,29,250,1,209
20,26,2,0,0,55
12,3,7,0,1,350
6,1,30,311,0,42
15,92,1,102,0,72
54,0,3,332,0,45
6,115,5,182,1,104
12,2,1,124,0,65
75,23,20,294,1,121
2,0,12,0,1,100
4,0,4,0,1,100
21,4,5,88,0,75
5,5,30,157,1,110
7,276,3,146,1,165
141,50,1,267,0,38
15,4,2,1,2,29
100,1,2,360,1,110
132,26,2,229,1,279
6,4,15,341,0,48
8,0,14,2,1,130
21,111,2,10,1,100
49,0,4,117,1,200
16,200,3,256,0,115
7,1,30,179,1,239
14,22,1,319,0,100
54,119,2,277,0,33
2,0,3,0,1,125
114,5,3,49,0,95
12,26,3,0,1,249
52,7,3,63,0,125
2,4,5,89,0,100
6,7,2,0,0,75
2,1,7,280,1,130
23,0,2,0,1,92
13,12,1,0,1,170
21,1,1,0,0,73
19,184,1,59,0,84
6,33,3,166,1,100
6,3,1,0,0,45
25,30,1,365,0,90
68,2,2,0,1,200
79,17,2,244,1,150
19,3,1,0,0,95
23,5,2,0,1,198
23,50,3,1,1,175
2,5,30,0,0,60
3,1,1,365,1,8000
21,72,2,293,0,50
1,8,3,0,1,149
23,42,2,80,0,91
44,0,4,0,1,45
202,29,2,240,0,65
6,2,1,0,0,55
12,41,2,365,0,95
1,0,4,0,1,175
6,124,3,170,1,115
6,13,2,164,0,81
106,4,2,9,1,96
3,294,2,336,0,70
12,8,2,8,0,70
30,2,31,130,0,40
124,0,1,0,2,100
12,11,1,58,0,90
24,26,1,332,0,52
3,0,21,0,1,125
28,0,3,324,1,230
8,6,4,0,1,199
21,198,3,269,1,174
2,0,5,364,0,100
28,4,3,345,0,101
19,13,2,0,1,165
6,0,2,0,1,400
43,0,29,339,1,135
56,0,1,89,0,60
6,0,4,0,0,70
15,115,3,314,1,185
144,7,2,110,0,65
20,228,3,1,1,185
22,2,6,202,1,100
12,2,1,89,0,125
23,22,2,4,1,200
113,20,1,39,0,249
79,37,2,0,1,100
2,0,3,326,1,125
23,4,5,282,1,85
26,0,1,0,0,150
75,23,3,211,0,30
79,1,5,365,1,105
189,31,3,122,1,85
1,1,1,0,0,500
15,2,1,362,1,400
2,1,7,0,0,35
79,0,1,28,0,50
9,0,3,222,0,130
37,0,28,123,0,38
15,0,5,0,0,55
6,59,2,6,0,60
12,12,4,117,1,290
19,57,30,0,1,89
34,26,1,363,0,119
126,0,1,0,0,50
21,0,30,342,2,32
6,9,2,0,0,75
20,0,5,0,0,70
1,0,1,0,1,300
15,22,5,0,1,85
56,30,2,132,0,59
7,17,1,0,0,99
4,3,1,30,0,270
2,7,1,157,0,55
24,0,1,95,0,109
28,0,3,0,1,350
30,0,1,6,0,54
111,3,2,365,0,45
7,23,2,240,1,1000
12,36,4,0,0,60
12,0,4,0,0,67
20,0,1,0,1,135
23,5,8,333,1,110
9,0,13,91,0,128
11,2,6,0,1,190
12,19,3,53,0,70
7,1,3,138,1,150
21,12,4,0,1,165
19,6,2,0,1,150
84,43,1,365,0,100
188,0,3,90,0,60
22,1,7,0,1,75
7,192,1,305,0,255
12,0,1,0,0,50
4,24,4,3,1,180
68,12,3,0,1,177
5,2,30,134,1,139
56,2,3,0,0,53
28,17,2,4,0,100
20,13,30,363,1,399
6,27,3,319,1,150
44,2,7,93,1,105
8,22,4,0,1,160
26,3,10,0,1,200
8,3,1,0,0,85
43,9,2,272,1,247
56,0,14,0,1,150
6,2,3,0,1,90
106,1,1,90,0,80
15,0,3,22,0,62
1,0,3,144,1,499
5,1,30,125,1,150
9,12,1,339,0,85
19,0,2,0,1,350
12,170,1,245,0,45
45,3,3,0,1,120
1,0,30,328,1,225
12,0,1,0,0,60
66,12,3,365,0,45
49,5,1,0,0,45
26,1,4,0,1,140
27,0,1,350,0,100
15,3,1,179,0,90
25,3,1,0,1,110
52,42,4,117,1,615
28,0,2,351,0,420
2,1,5,18,0,80
12,0,2,0,1,109
46,2,2,322,0,83
64,2,4,6,0,150
14,11,3,106,0,130
68,5,30,1,1,185
11,6,5,0,1,295
30,21,3,1,0,65
12,10,1,281,0,70
43,17,3,0,1,116
15,62,1,159,0,39
6,71,2,309,0,46
12,2,1,16,0,89
28,0,30,315,1,187
12,19,10,13,0,73
12,215,1,224,1,210
2,9,3,0,1,65
20,2,10,41,1,150
1,0,4,4,1,369
15,1,1,88,0,38
1,70,2,263,1,199
6,14,10,301,0,55
44,0,30,365,0,47
0,1,2,0,1,100
1,18,1,52,2,75
15,1,2,0,0,60
12,1,6,0,0,55
32,0,8,72,1,500
7,42,3,286,0,105
11,1,3,0,1,170
1,0,30,311,1,180
64,0,3,0,1,250
33,49,4,3,1,135
49,107,1,32,0,100
7,1,1,0,0,130
2,0,5,0,1,350
13,1,5,172,0,125
8,0,4,0,0,95
30,57,1,154,1,120
56,1,30,220,1,600
61,42,2,123,1,100
39,15,6,128,0,49
77,40,6,105,1,400
22,37,3,320,1,150
1,3,2,43,1,185
89,1,1,0,1,75
8,27,30,364,1,1000
2,0,3,19,0,54
103,219,1,305,0,85
2,0,1,7,2,60
46,1,1,177,0,140
45,3,3,0,1,125
16,1,3,0,1,125
7,32,2,44,1,225
14,41,3,1,1,200
2,0,5,0,1,113
5,11,1,0,0,100
64,1,1,0,0,90
28,2,1,0,0,141
21,0,5,0,0,60
21,5,2,128,1,245
12,1,1,0,0,110
49,6,2,12,0,95
22,2,3,108,1,110
1,3,1,365,0,450
60,27,3,0,1,109
25,4,3,0,1,231
7,0,30,365,1,220
25,0,1,42,1,75
2,41,2,1,0,75
71,8,5,0,1,200
14,13,5,4,1,170
117,1,3,88,0,200
37,30,1,353,0,95
14,4,2,0,1,130
77,0,30,244,1,282
63,37,2,86,1,165
15,1,30,34,1,88
14,0,2,0,1,400
34,0,1,317,0,53
12,4,3,359,1,650
6,1,1,0,0,37
21,1,5,0,0,44
8,0,4,365,0,200
85,0,2,84,0,40
16,42,3,46,1,400
25,2,3,0,1,120
0,5,3,0,0,137
8,0,30,311,1,180
2,219,1,280,0,60
12,102,1,267,0,110
53,219,3,212,1,199
28,89,1,149,0,120
2,4,5,0,0,57
12,11,2,83,0,90
6,54,2,259,1,169
1,3,2,266,1,672
12,1,1,23,0,80
162,12,1,351,2,25
23,12,5,25,1,139
56,28,3,248,2,60
19,5,2,0,0,149
103,62,1,336,1,250
45,1,3,0,1,80
56,2,3,0,0,55
100,33,4,323,0,45
83,64,1,314,1,105
8,4,30,283,1,168
8,2,1,0,0,200
5,0,4,46,0,150
56,2,7,0,1,125
28,0,1,0,1,99
28,0,5,0,1,250
21,2,5,49,1,85
2,40,1,45,0,65
12,51,3,0,1,275
6,90,3,155,1,125
28,0,1,0,1,290
6,142,2,57,1,99
19,1,30,18,0,63
6,4,1,3,1,185
27,1,3,363,1,249
21,143,2,0,1,100
37,122,1,86,0,65
2,71,3,9,1,135
56,11,5,162,0,47
5,1,30,365,1,195
14,6,1,0,1,128
44,11,1,88,0,75
6,1,2,365,0,60
2,3,1,0,1,76
28,9,30,332,1,200
12,0,12,0,0,56
22,27,4,29,1,150
5,2,30,364,1,150
12,2,6,242,1,189
28,10,5,25,1,150
4,15,4,0,1,102
21,3,1,0,0,65
101,1,1,0,0,225
44,0,2,0,0,65
45,4,1,0,0,80
30,4,30,275,0,45
39,7,3,280,1,129
19,1,2,0,1,130
6,59,5,243,1,160
63,44,2,319,1,125
14,0,2,0,0,195
25,17,3,90,0,135
7,10,2,14,0,90
9,58,1,10,0,90
73,13,2,71,0,50
21,2,30,333,0,50
0,38,3,0,1,84
28,68,1,5,0,100
23,1,14,0,1,215
3,0,1,0,0,75
2,31,8,270,0,47
6,2,7,0,1,85
1,0,29,327,1,239
1,0,28,250,1,714
11,0,3,16,1,350
23,1,4,90,0,90
6,35,2,36,1,80
21,165,5,261,0,60
12,0,2,3,1,210
2,4,3,21,0,55
38,15,1,149,0,99
23,122,2,362,1,180
73,0,2,32,2,20
28,10,3,14,0,100
14,0,5,17,1,260
12,96,3,0,1,145
12,0,3,354,1,500
3,28,1,0,0,85
48,0,2,38,1,400
77,3,3,17,1,295
7,63,1,196,2,65
84,114,1,235,0,48
39,4,2,180,0,50
7,77,2,9,1,130
21,157,1,235,1,122
132,0,14,128,0,72
43,13,2,341,1,412
21,27,4,49,2,25
8,0,2,0,1,199
71,0,25,261,1,250
45,15,1,16,0,70
66,117,4,232,0,37
4,140,2,341,1,220
6,5,3,301,0,75
24,18,2,0,1,199
1,0,14,346,0,86
54,0,6,62,1,150
7,1,2,39,0,140
15,83,3,17,1,48
1,2,3,365,0,599
2,0,1,0,0,100
23,18,1,0,0,120
30,3,2,0,1,99
12,0,30,188,1,278
170,5,2,334,1,350
6,0,3,133,1,180
46,56,1,34,2,39
6,149,2,1,1,170
24,0,3,50,0,70
14,12,12,21,0,99
4,24,2,0,1,175
52,25,3,80,1,226
129,0,1,365,0,66
12,4,2,0,0,75
39,105,2,101,0,60
56,2,3,5,0,57
94,77,1,361,0,120
8,3,4,0,0,175
19,67,1,38,1,165
28,9,30,280,1,165
12,20,2,345,0,70
20,1,1,0,0,60
11,0,3,0,1,450
12,14,3,0,1,215
15,1,3,0,0,30
19,141,3,13,1,118
52,0,1,0,0,1250
20,1,1,0,0,110
8,37,1,59,0,129
11,3,1,0,1,400
44,1,30,314,0,45
27,0,4,0,0,129
19,5,7,231,1,129
21,0,1,0,0,30
12,0,1,0,0,80
6,0,16,40,0,30
49,12,3,0,1,100
70,119,1,289,1,100
12,3,5,0,1,100
39,5,5,297,0,40
129,0,5,121,1,150
2,22,2,275,0,65
6,0,3,0,0,40
33,75,2,309,0,210
14,3,3,0,1,225
15,21,7,292,0,150
6,8,6,48,0,82
20,22,14,268,0,79
4,13,2,1,0,113
124,3,1,360,0,45
71,0,1,359,0,300
6,0,30,54,0,35
56,7,3,0,0,40
187,0,1,0,0,60
8,2,4,0,1,175
15,1,7,0,0,50
7,2,30,365,1,239
30,1,1,30,2,40
7,55,4,261,1,245
1,1,4,218,1,419
34,0,12,83,1,125
139,10,1,160,0,74
11,58,1,99,1,120
1,57,3,115,1,524
7,0,4,0,0,100
22,96,2,130,0,54
8,21,30,318,1,275
77,1,1,0,1,2000
15,0,3,365,1,250
63,0,2,0,1,100
30,0,30,0,0,120
46,5,1,62,1,85
68,2,6,0,1,130
12,0,30,159,1,55
20,39,1,15,0,70
7,10,2,179,1,350
20,1,30,341,0,65
12,6,2,0,1,650
29,39,1,315,0,55
30,5,2,216,0,59
44,3,7,15,1,160
6,1,1,0,0,49
34,28,30,297,1,130
25,0,2,364,1,350
12,1,7,0,0,65
85,10,4,189,0,42
2,0,1,0,0,60
21,8,3,67,0,70
12,5,4,1,1,110
13,1,10,0,1,150
1,5,4,0,1,130
64,0,3,85,1,249
49,0,1,0,1,75
56,74,3,285,0,70
7,8,2,0,1,123
22,1,1,80,0,65
6,2,7,0,0,30
12,15,30,0,1,90
9,4,20,0,1,120
189,9,4,50,1,115
7,7,1,148,1,199
22,11,10,0,0,54
28,22,2,7,1,155
39,50,1,339,0,70
28,3,1,5,1,115
8,1,1,288,0,230
51,12,1,0,0,72
10,1,3,0,1,173
14,12,7,0,0,90
12,13,30,255,0,125
7,4,7,318,0,99
27,0,1,293,0,100
12,7,3,3,1,140
90,6,1,365,0,100
6,2,1,0,0,75
16,8,2,0,0,90
124,32,3,212,0,38
26,1,28,72,0,95
37,66,5,141,0,60
71,0,1,293,0,100
4,50,7,188,1,125
12,2,3,152,1,50
12,3,4,0,0,100
39,41,1,177,1,95
2,161,1,259,0,42
6,18,2,359,0,55
21,1,7,36,0,35
133,9,2,0,0,300
28,74,3,263,1,150
79,1,15,8,1,125
19,0,2,0,0,300
56,8,14,0,1,124
6,16,3,5,1,60
48,1,1,348,1,179
13,7,29,159,1,165
8,16,2,261,1,185
85,98,1,180,0,65
2,131,4,115,0,58
12,56,1,14,0,102
30,0,1,0,0,35
6,1,5,0,0,40
2,72,2,72,0,69
24,74,2,20,0,48
3,22,3,363,1,200
2,9,3,2,1,165
11,2,2,14,1,300
37,5,1,85,0,85
12,13,3,36,0,55
13,132,2,298,1,175
24,0,1,305,0,50
37,112,1,84,0,60
6,7,30,97,0,97
2,2,4,0,0,99
21,0,5,0,0,40
25,21,2,90,2,48
24,11,5,0,0,150
28,8,2,0,0,105
28,141,1,262,1,165
23,49,3,0,0,110
21,233,4,89,1,225
19,11,3,0,1,139
56,3,4,0,1,86
21,8,2,90,0,66
19,22,2,8,1,300
12,0,4,0,0,79
6,3,4,0,1,99
6,22,2,297,0,55
71,1,20,0,1,170
19,0,2,0,2,65
8,0,7,0,1,800
2,53,2,350,0,100
6,7,3,0,1,125
77,1,30,328,1,150
19,27,3,0,1,175
30,11,2,0,1,72
136,21,2,280,0,45
52,0,4,188,1,300
8,18,2,0,1,249
56,4,1,90,0,115
9,1,2,0,0,100
23,6,4,0,1,140
12,37,3,34,1,165
12,0,1,43,0,75
37,0,1,0,0,89
162,74,1,66,0,60
12,0,90,91,1,150
6,0,2,0,0,40
7,3,2,0,0,65
7,22,2,155,1,200
25,45,2,33,1,175
6,1,7,0,1,85
24,2,1,0,1,105
6,3,2,0,0,50
15,2,7,0,1,70
7,6,2,0,0,102
19,0,3,0,1,150
52,9,3,0,0,200
28,3,1,5,1,110
26,2,5,6,0,110
12,0,30,0,1,200
34,215,2,72,0,150
102,0,2,0,0,100
12,9,4,10,1,395
20,1,1,83,1,300
3,1,30,281,0,90
21,5,3,0,0,70
21,16,20,54,0,59
14,11,7,358,0,50
31,1,30,239,0,51
6,11,2,0,0,80
18,0,6,0,1,125
12,39,1,270,1,195
76,14,2,82,0,65
63,0,365,364,1,2350
6,6,3,0,0,130
21,1,1,314,0,80
8,38,3,31,1,215
26,1,30,364,1,142
56,5,1,0,0,40
8,1,2,0,1,175
8,0,30,52,1,112
12,6,2,48,1,171
100,95,1,124,1,100
43,0,29,304,1,245
4,21,13,0,1,160
32,0,3,0,1,160
71,0,30,364,1,257
19,25,3,1,1,149
28,1,2,0,1,175
2,17,1,363,0,150
25,19,2,0,1,105
49,1,3,11,1,200
6,89,1,278,1,115
2,14,1,359,0,55
123,0,1,43,1,100
12,9,2,4,0,50
14,15,3,42,1,239
30,26,7,57,0,55
2,1,3,0,0,65
36,0,1,0,1,125
21,3,2,318,0,45
12,1,2,0,0,200
7,0,5,0,1,199
117,41,2,62,1,139
2,3,4,0,0,75
12,3,1,0,0,98
6,127,1,318,0,55
103,4,1,363,0,78
6,0,4,310,1,200
27,61,1,173,1,459
23,1,4,0,1,225
6,0,4,9,1,225
21,0,12,120,1,97
28,50,1,343,2,42
19,3,2,0,0,100
112,29,3,96,0,49
2,48,1,365,0,55
54,3,3,90,0,60
8,200,3,6,1,185
24,4,4,0,1,100
6,1,1,12,0,85
48,4,7,14,1,550
94,0,3,15,1,93
20,6,3,60,0,299
12,0,3,0,1,150
19,3,2,0,1,101
2,10,3,10,1,130
21,21,2,343,0,40
87,2,1,0,0,39
11,1,4,0,0,100
4,134,3,90,0,75
28,0,3,37,0,100
111,93,14,73,1,96
5,3,1,0,2,103
1,75,2,105,1,193
22,219,1,237,1,130
8,11,2,4,0,70
56,4,2,14,1,125
7,41,10,126,1,500
11,18,4,24,1,240
6,30,2,0,0,58
124,3,2,346,0,50
11,39,4,21,1,135
19,28,2,9,1,150
201,40,2,84,0,50
27,107,3,276,0,199
11,62,3,350,1,245
8,0,1,0,1,150
12,35,3,0,0,80
3,5,6,3,1,235
6,0,3,0,0,59
2,103,1,339,1,125
6,0,1,0,0,95
29,2,5,0,1,91
30,1,2,10,0,55
73,9,1,0,0,45
21,12,3,0,0,70
132,2,35,83,1,150
43,7,1,315,1,650
15,19,2,257,1,178
30,2,1,0,0,25
30,81,5,315,1,80
126,13,1,183,1,100
64,0,12,0,0,79
12,24,2,53,0,65
21,4,2,0,1,68
7,4,1,0,0,210
28,1,1,0,0,95
68,0,2,0,1,175
8,22,6,354,1,200
30,0,2,121,0,46
110,1,7,83,1,150
95,0,2,149,1,100
12,210,1,217,0,58
56,8,30,358,0,38
11,17,4,32,1,1500
33,90,2,87,1,172
48,8,1,0,1,100
6,195,1,46,0,79
1,0,2,0,0,180
1,0,29,219,1,287
56,14,2,0,1,125
28,90,3,323,0,80
160,3,3,327,1,150
37,3,1,75,0,55
28,15,30,341,1,99
20,4,1,0,1,185
15,71,3,302,1,155
11,80,2,296,0,135
54,2,1,365,0,100
14,0,30,236,1,225
4,3,2,0,0,70
5,0,30,235,1,258
6,15,1,13,0,54
12,57,2,15,1,195
26,0,1,0,0,76
28,0,1,0,1,300
7,5,30,365,0,64
43,0,2,0,1,215
4,20,1,129,0,56
43,6,2,328,1,227
70,80,5,256,1,155
14,49,1,0,1,150
12,1,3,0,0,60
1,1,6,149,1,399
25,0,5,0,0,60
46,0,1,90,1,250
39,2,2,0,0,47
20,12,2,0,0,0
12,39,2,0,1,225
79,37,2,308,0,45
38,3,30,312,1,130
173,34,4,37,0,40
20,2,20,24,1,100
82,1,2,102,1,160
15,3,1,0,0,70
19,3,3,5,1,350
2,146,2,129,0,85
28,6,30,0,1,140
21,3,1,0,0,55
6,9,2,319,0,55
4,109,1,12,1,132
12,8,13,0,1,150
6,1,1,0,0,44
6,2,3,0,0,59
90,1,2,0,0,85
12,0,7,0,0,80
31,33,2,157,0,53
26,0,1,0,0,80
16,2,2,0,1,153
1,0,4,0,1,380
7,0,30,133,1,129
68,7,4,64,1,400
21,1,2,302,0,36
43,3,4,0,1,160
4,123,2,64,0,85
2,205,3,184,1,135
30,12,2,78,0,45
6,62,3,280,1,170
54,2,6,24,1,75
2,0,13,5,0,50
21,3,30,259,0,47
71,0,1,256,0,100
117,0,1,0,0,70
12,48,4,6,1,100
1,2,3,0,1,140
2,80,2,347,0,65
19,36,2,51,0,108
10,1,7,21,1,135
11,31,30,346,1,125
12,0,4,0,0,75
21,3,1,0,1,180
8,16,4,7,1,315
7,59,3,14,1,175
7,36,3,49,0,150
21,0,1,0,0,40
20,2,4,0,1,86
21,25,5,64,0,70
22,6,2,2,0,50
28,3,6,123,1,380
1,4,2,0,1,250
19,4,4,0,1,210
22,4,1,0,0,69
58,41,2,365,0,68
7,19,2,0,1,248
68,7,5,0,1,250
64,66,2,44,0,140
25,111,2,268,1,255
12,7,3,54,1,180
21,2,1,0,0,37
29,19,3,88,1,175
12,0,1,297,1,99
2,147,3,66,0,100
32,0,31,310,1,100
2,35,1,60,0,105
14,9,29,280,1,225
12,2,2,0,1,240
21,8,3,0,0,60
49,11,6,358,0,50
160,239,1,256,1,195
6,14,1,20,0,60
8,27,1,190,0,93
182,10,1,322,1,299
33,52,2,9,1,160
11,0,1,72,1,89
21,0,2,0,0,50
25,0,3,16,1,170
1,7,30,321,1,225
6,21,2,334,0,65
1,15,2,0,0,90
45,5,3,0,0,50
56,14,1,6,0,85
22,11,1,90,0,148
21,2,1,250,0,45
12,3,30,319,0,62
6,9,2,64,0,42
16,4,5,0,1,115
2,0,1,0,0,100
2,80,3,268,1,149
24,1,1,0,0,78
79,18,1,241,0,54
20,74,3,364,1,500
18,0,1,13,1,100
28,3,1,90,0,105
12,0,2,0,0,100
28,66,2,231,1,250
49,3,5,88,0,85
62,15,2,330,0,85
84,22,1,126,1,95
7,0,5,0,0,110
1,0,1,10,0,250
21,0,2,0,0,120
8,14,7,0,0,85
12,0,10,0,1,385
28,2,1,0,1,150
22,32,3,0,1,110
12,1,2,0,0,75
12,2,3,0,0,56
12,0,20,0,1,200
79,17,1,109,0,59
4,79,5,307,1,120
6,17,3,35,1,298
19,1,5,0,1,100
39,33,2,113,0,48
77,14,3,36,1,450
34,1,4,0,0,40
6,1,3,348,0,65
1,4,5,0,1,350
132,150,1,238,1,160
21,76,2,270,1,120
16,15,2,174,1,130
46,16,1,132,1,190
12,0,60,0,1,1763
21,2,1,0,0,45
2,5,1,0,0,110
2,74,2,264,1,295
12,1,2,0,1,241
15,0,3,0,1,275
106,22,2,118,1,150
3,2,28,0,0,36
8,1,1,0,1,70
6,6,2,0,0,75
6,12,2,305,0,49
21,0,2,0,1,185
6,3,2,188,1,200
5,0,30,331,1,350
24,3,21,0,1,80
8,0,30,317,0,60
10,0,10,0,0,80
33,0,30,181,1,143
43,19,3,244,1,130
34,0,2,0,1,150
6,1,30,282,0,42
19,7,14,126,0,60
34,7,5,70,1,125
3,5,2,174,0,150
2,124,3,82,0,60
12,7,5,0,1,120
12,31,2,282,0,65
7,2,10,0,1,120
6,6,4,230,1,220
12,1,1,0,0,60
2,0,5,0,1,300
30,1,7,0,0,37
125,7,3,343,0,105
8,5,5,7,1,125
51,5,2,0,0,70
30,0,1,179,0,90
19,50,3,240,0,60
20,5,5,0,1,10000
24,1,2,0,1,100
44,45,3,304,0,56
2,62,3,73,0,70
25,0,5,0,0,88
12,0,1,0,0,85
25,43,2,239,1,155
2,17,2,177,0,90
12,2,1,4,1,250
84,1,1,89,0,60
7,9,7,326,0,65
11,3,2,0,0,100
46,10,1,175,0,72
11,0,3,0,1,150
13,0,1,0,0,50
106,44,1,155,0,50
43,4,30,322,1,265
21,1,3,0,0,38
81,20,2,298,1,300
27,1,14,292,1,760
80,7,1,265,0,50
9,6,4,299,1,499
103,0,1,318,0,40
79,0,10,67,0,38
2,22,5,5,0,54
7,79,2,80,0,110
81,40,2,1,0,89
12,0,1,95,1,196
79,0,1,0,0,85
56,3,3,365,0,80
19,2,3,0,0,110
9,80,2,14,1,195
27,1,1,180,1,169
23,9,7,0,0,65
14,132,1,317,1,75
56,30,4,363,1,110
28,6,1,0,0,100
39,9,1,0,0,46
14,0,1,0,1,200
14,0,3,0,0,120
19,4,2,0,0,65
8,9,4,34,1,274
28,24,5,48,1,140
181,6,1,0,0,35
23,210,3,256,0,100
10,3,2,0,1,150
9,6,3,364,1,188
6,6,2,0,1,130
166,8,1,342,0,49
7,0,9,141,0,150
7,0,1,360,1,250
6,0,30,220,0,39
19,7,4,0,1,237
12,0,1,0,0,100
6,0,30,0,1,69
56,2,1,281,0,79
28,3,1,0,1,199
2,50,3,152,1,150
14,6,7,0,1,250
6,73,4,228,1,150
8,11,4,260,1,330
23,46,1,342,1,350
177,0,7,71,1,80
37,23,1,161,0,53
30,46,14,287,0,48
14,15,3,0,1,399
13,0,1,0,1,200
35,2,3,161,1,125
19,0,7,0,0,85
7,86,2,137,1,275
25,21,2,0,0,48
4,62,5,271,0,89
54,79,3,349,1,120
23,53,5,30,1,278
20,102,2,30,1,75
30,10,4,4,1,120
28,1,7,0,1,138
14,0,30,365,0,350
44,0,7,0,1,150
77,4,30,310,1,250
28,32,2,7,1,159
19,1,19,200,1,189
4,110,1,34,0,75
12,92,3,123,0,85
2,70,2,15,1,165
6,20,3,90,0,99
185,42,3,115,0,115
8,4,1,0,0,79
8,9,30,161,1,110
79,1,2,0,0,30
101,0,7,0,1,195
19,54,2,322,1,199
6,0,3,125,1,125
19,35,2,262,1,345
21,1,2,0,0,50
6,2,2,88,0,120
199,1,1,179,0,65
64,0,7,0,1,175
67,25,2,0,0,55
12,4,3,0,1,130
12,2,3,0,1,132
21,105,4,48,1,260
64,5,15,197,0,100
12,62,6,15,0,120
136,36,2,10,1,79
