neighbourhood_n,number_of_reviews,minimum_nights,availability_365,room_type_n,Survived
87,175,2,349,0,70
1,2,5,0,1,250
14,45,115,210,1,96
12,24,2,0,0,90
26,23,1,55,0,94
206,1,7,188,0,30
2,203,1,162,0,89
2,0,2,0,0,70
38,2,30,82,1,220
25,37,29,305,0,100
121,9,3,3,1,114
21,1,1,88,0,65
6,10,1,4,1,102
4,9,10,0,1,80
8,0,30,356,0,60
1,4,4,157,1,325
19,48,2,135,1,220
71,1,1,351,0,100
4,75,2,59,0,145
7,21,1,0,1,150
45,5,14,79,1,120
2,163,3,0,0,52
17,0,3,335,1,300
21,0,1,0,0,50
12,61,1,11,1,145
23,4,30,281,1,170
49,6,3,43,0,60
0,58,1,16,0,56
2,41,1,8,1,122
19,44,2,0,1,160
56,25,3,0,1,85
1,37,4,155,0,135
37,31,2,282,0,55
85,74,2,174,0,65
6,102,1,237,0,50
1,0,30,342,1,180
17,1,5,0,1,78
6,10,2,311,2,45
30,0,1,79,1,150
2,61,3,7,2,25
2,11,2,90,0,100
8,3,30,317,0,70
33,2,5,0,1,130
20,0,2,0,1,250
2,1,1,256,0,99
2,9,2,25,1,344
126,61,2,32,1,80
13,36,10,328,1,165
6,30,4,286,0,45
13,4,3,0,1,160
4,0,13,0,0,50
21,2,7,89,0,31
56,89,1,148,1,150
5,0,10,19,0,60
7,120,2,308,0,175
30,33,5,1,0,69
79,41,2,0,1,90
12,0,5,0,0,45
12,0,2,0,0,65
28,35,2,180,0,95
93,13,1,362,0,55
22,28,3,298,0,65
27,16,3,15,1,200
7,0,1,0,1,175
63,133,3,336,1,168
83,20,2,167,0,50
43,1,14,0,1,130
56,16,2,79,1,140
4,17,1,0,2,60
8,0,20,0,0,69
19,6,2,7,1,200
7,32,2,90,0,120
8,176,1,300,0,140
1,58,5,339,1,422
12,1,14,0,0,69
28,0,2,0,1,650
12,68,4,5,1,131
105,0,1,363,0,240
15,0,60,364,1,150
44,6,2,0,0,48
0,2,1,268,1,100
171,0,1,88,2,50
54,0,7,365,0,80
6,1,1,53,1,300
56,2,1,0,1,100
21,17,2,0,1,150
0,1,1,0,0,50
56,0,2,310,0,70
2,100,3,341,0,85
196,10,1,363,0,55
44,0,7,0,1,225
12,166,3,104,1,90
46,0,1,22,1,250
39,0,1,0,0,85
54,0,1,87,1,200
32,0,3,0,0,60
26,23,2,0,2,49
26,139,30,325,1,195
8,2,1,0,1,180
1,6,3,70,0,90
8,5,5,0,1,115
16,7,2,0,1,230
23,2,1,0,1,900
12,3,1,0,0,100
20,2,5,0,1,149
3,5,2,0,0,149
19,10,1,90,0,100
6,5,2,86,1,190
12,7,4,0,1,120
11,3,2,67,1,229
12,8,2,77,1,215
6,15,4,97,1,110
56,36,2,0,0,40
8,4,30,242,0,45
15,3,8,0,0,45
100,9,1,334,0,89
152,305,1,341,0,60
23,65,2,350,1,300
102,0,2,0,1,100
6,28,3,316,1,150
6,29,2,335,0,52
22,0,4,0,0,98
33,15,3,0,1,100
4,0,2,0,0,100
28,7,31,338,1,150
28,0,1,0,1,300
12,29,30,295,1,118
81,2,29,1,0,33
4,2,1,64,2,65
30,6,3,0,0,50
12,8,1,357,0,44
39,1,2,310,1,160
18,30,1,270,0,149
21,8,2,0,0,60
7,4,1,365,2,75
17,54,2,135,1,175
2,1,1,72,0,62
2,3,2,363,0,74
12,1,2,0,1,199
7,2,30,121,0,61
6,76,5,258,2,25
39,34,1,262,0,80
19,1,5,0,1,140
23,45,1,111,1,300
37,0,2,3,0,80
15,2,1,0,0,59
6,0,2,0,0,125
36,0,4,0,1,160
21,106,3,248,1,139
31,1,37,39,0,33
30,0,7,0,1,150
15,0,1,58,0,75
32,80,3,106,1,200
77,14,14,365,1,490
0,5,7,59,1,95
14,26,3,18,0,109
2,76,28,296,1,99
14,61,1,0,2,50
20,18,2,0,1,135
8,0,30,341,1,300
2,21,4,128,1,120
6,6,2,0,0,69
6,50,1,257,1,96
